split,slice_id,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_iou_tp,avg_confidence,infer_time_ms_per_image
test,BraTS20_Training_006_slice_071,1,1,1,0,0,1.0,1.0,1.0,0.690248,0.887752,6.476
test,BraTS20_Training_006_slice_072,1,1,1,0,0,1.0,1.0,1.0,0.700222,0.887785,6.476
test,BraTS20_Training_006_slice_073,1,1,1,0,0,1.0,1.0,1.0,0.672892,0.885761,6.476
test,BraTS20_Training_006_slice_074,1,1,1,0,0,1.0,1.0,1.0,0.714741,0.892788,6.476
test,BraTS20_Training_006_slice_075,2,1,1,0,1,1.0,0.5,0.666667,0.705827,0.902146,6.476
test,BraTS20_Training_006_slice_076,2,1,1,0,1,1.0,0.5,0.666667,0.670935,0.911512,6.476
test,BraTS20_Training_006_slice_077,2,1,1,0,1,1.0,0.5,0.666667,0.671156,0.900825,6.377
test,BraTS20_Training_006_slice_078,2,1,1,0,1,1.0,0.5,0.666667,0.706349,0.871791,6.377
test,BraTS20_Training_006_slice_079,2,1,1,0,1,1.0,0.5,0.666667,0.66941,0.79624,6.377
test,BraTS20_Training_006_slice_080,1,1,1,0,0,1.0,1.0,1.0,0.674059,0.746044,6.377
test,BraTS20_Training_006_slice_081,1,2,1,1,0,0.5,1.0,0.666667,0.70141,0.564326,6.377
test,BraTS20_Training_006_slice_082,2,1,1,0,1,1.0,0.5,0.666667,0.71544,0.762802,6.377
test,BraTS20_Training_006_slice_083,2,1,1,0,1,1.0,0.5,0.666667,0.748783,0.763036,6.377
test,BraTS20_Training_006_slice_084,1,1,1,0,0,1.0,1.0,1.0,0.725286,0.791169,6.377
test,BraTS20_Training_006_slice_085,1,1,1,0,0,1.0,1.0,1.0,0.759726,0.85087,6.713
test,BraTS20_Training_006_slice_086,1,1,1,0,0,1.0,1.0,1.0,0.795562,0.878855,6.713
test,BraTS20_Training_006_slice_087,1,1,1,0,0,1.0,1.0,1.0,0.829493,0.888235,6.713
test,BraTS20_Training_006_slice_088,1,1,1,0,0,1.0,1.0,1.0,0.811846,0.877076,6.713
test,BraTS20_Training_006_slice_089,1,1,1,0,0,1.0,1.0,1.0,0.810383,0.881144,6.713
test,BraTS20_Training_006_slice_090,1,1,1,0,0,1.0,1.0,1.0,0.807805,0.872622,6.713
test,BraTS20_Training_006_slice_091,2,2,1,1,1,0.5,0.5,0.5,0.791132,0.59764,6.713
test,BraTS20_Training_006_slice_092,1,2,1,1,0,0.5,1.0,0.666667,0.788155,0.586349,6.713
test,BraTS20_Training_006_slice_093,1,2,1,1,0,0.5,1.0,0.666667,0.803721,0.652743,6.424
test,BraTS20_Training_006_slice_094,1,2,1,1,0,0.5,1.0,0.666667,0.799265,0.660905,6.424
test,BraTS20_Training_006_slice_095,2,2,1,1,1,0.5,0.5,0.5,0.749588,0.655338,6.424
test,BraTS20_Training_006_slice_096,2,2,1,1,1,0.5,0.5,0.5,0.73222,0.699301,6.424
test,BraTS20_Training_006_slice_097,2,2,1,1,1,0.5,0.5,0.5,0.752493,0.680347,6.424
test,BraTS20_Training_006_slice_098,1,2,1,1,0,0.5,1.0,0.666667,0.759031,0.637925,6.424
test,BraTS20_Training_006_slice_099,1,2,1,1,0,0.5,1.0,0.666667,0.719419,0.672291,6.424
test,BraTS20_Training_006_slice_100,1,2,1,1,0,0.5,1.0,0.666667,0.694051,0.616205,6.424
test,BraTS20_Training_006_slice_101,2,3,2,1,0,0.666667,1.0,0.8,0.66908,0.495529,5.539
